storage_encryption_level,api_security_score,data_transmission_security,authentication_strength,input_validation_score,network_communication_security,third_party_library_risk,runtime_permissions_management,code_obfuscation_level,certificate_pinning_implementation,vulnerability_label
0.0,1.7088989367856686,0.443548023160091,-0.5125766950817972,0.6554424562421046,3.96851388314574,-4.112096496042139,1.528359247623266,3.4002801164777843,0.9274238909238315,1
0.00841638759295904,1.4712163606070683,-1.1384195179247345,-0.21972808327744264,-0.7061368304895452,0.46884524780485837,1.113324669202371,0.393980024344307,2.2798275335834584,0.16946327252507298,0
0.27219490957637027,0.5997814636271763,-0.11391424054199994,2.1108933549158713,0.8696071079849788,-1.1625236063380706,-1.5846532344275013,1.6945069116183356,-0.42417795020006505,1.7840213554261914,1
0.0,2.3612603973184623,2.9001441296857955,-1.1010477274074477,-2.403592423320384,-1.7795627611296434,-1.2244145701012012,1.6178699816186932,-0.9630602886193591,-0.7099285881663022,1
0.0,1.6560260914113039,0.3537415514925397,2.029865068879534,0.5757176180854551,5.677024124949731,-7.721755664907593,-1.7151733480305973,-1.5526723810325138,2.2684733516478723,0
0.0,2.4454180706874515,-3.0756937735356416,0.4742400498135986,-0.9391585088110395,-2.879356898376027,2.318479727143813,-3.169422492576484,-0.9923958066688956,-2.168571163596071,0
0.0,2.267930395470438,1.2419507288321436,-2.128704573076259,-0.08074166419250117,8.069447201429917,-5.738721043995796,-0.04004979300076883,2.697210264750235,1.582822954757746,0
0.0,2.1688828919986642,-1.9972749032875274,-0.793585209842673,1.2073546058626858,-0.020772055929105516,1.637773801151643,3.1774622355122095,7.06354424280859,-0.37347671269341887,1
0.0,2.190232044088565,-3.4831201003931884,0.5921607791746231,-0.47260268726964494,1.2868606543280297,-0.050570372665342485,-0.5935978551549117,5.251693183413029,-1.1229029787130123,1
0.0,1.9500584973706347,1.5576167099541185,-0.17647316637540134,-0.2215771471492155,-0.2296249777112029,-0.8753263999152784,-1.7484465444032096,-3.1594525027573703,-1.2392290095442582,1
0.0,0.9745747812824235,2.3087143081521377,0.5837604749965629,0.5219557614925527,4.6080023524625675,-5.764086406218221,-0.774367876725288,-1.6915416225421525,1.0851250693539112,0
